Xa       Ya       Xb       Yb      Type     Flux     Speed
 2.26411  48.8866  2.26411  48.8866    10       359      15
 2.26346  48.8857  2.26346  48.8857    10       673      15
 2.25079  48.877   2.25079  48.877     10       81       18
 2.2798   48.8865  2.2798   48.8865    10       226      16
 2.27465  48.8895  2.27465  48.8895    10       307      27
 2.27868  48.8879  2.27868  48.8879    10       328      13
 2.27612  48.8861  2.27612  48.8861    10       34       14
 2.28481  48.8958  2.28481  48.8958    10      1139      19
 2.28719  48.8932  2.28719  48.8932    10       550      13
 2.2883   48.892   2.2883   48.892     10      1212      18
 2.29408  48.8996  2.29408  48.8996    10       421      20
 2.2963   48.8972  2.2963   48.8972    10       535      18
 2.30389  48.9038  2.30389  48.9038    10       598      12
 2.30949  48.8979  2.30949  48.8979    10       71       52
 2.3058   48.9073  2.3058   48.9073    10      1215       8
 2.30719  48.9095  2.30719  48.9095    10       238      17
 2.30938  48.9069  2.30938  48.9069    10       526      12
 2.32156  48.906   2.32156  48.906     10       331      29
 2.33264  48.9096  2.33264  48.9096    10       218      21
 2.33486  48.9088  2.33486  48.9088    10       928      14
 2.33578  48.9115  2.33578  48.9115    10       702      11
 2.34691  48.9062  2.34691  48.9062    10       279      18
 2.33183  48.9174  2.33183  48.9174    10       217      19
 2.32743  48.9162  2.32743  48.9162    10       300      16
 2.31247  48.9188  2.31247  48.9188    10       260      17
 2.2906   48.9315  2.2906   48.9315    10       238      21
 2.28766  48.9188  2.28766  48.9188    10       296      27
 2.28627  48.9213  2.28627  48.9213    10       356      23
 2.28525  48.911   2.28525  48.911     10      1091      23
 2.28114  48.9111  2.28114  48.9111    10       117      15
 2.27122  48.905   2.27122  48.905     10       298      27
 2.2746   48.9046  2.2746   48.9046    10       440      25
 2.26237  48.902   2.26237  48.902     10       730      13
 2.24612  48.8994  2.24612  48.8994    10       330      22
 2.24332  48.8984  2.24332  48.8984    10       777      20
 2.24098  48.8782  2.24098  48.8782    10       528      19
 2.23116  48.885   2.23116  48.885     10       457      27
 2.23441  48.8839  2.23441  48.8839    10       441      18
 2.23348  48.889   2.23348  48.889     10      1411      17
 2.23693  48.8902  2.23693  48.8902    10       368      25
 2.23394  48.891   2.23394  48.891     10       498      37
 2.21728  48.8902  2.21728  48.8902    10       379      33
 2.21486  48.8886  2.21486  48.8886    10       371      24
 2.20946  48.8874  2.20946  48.8874    10       318      41
 2.21037  48.891   2.21037  48.891     10       857      19
 2.22905  48.9027  2.22905  48.9027    10       484      16
 2.22162  48.9003  2.22162  48.9003    10       460      50
 2.2273   48.8988  2.2273   48.8988    10       725      28
 2.20391  48.8975  2.20391  48.8975    10       354      14
 2.20011  48.8969  2.20011  48.8969    10       172      20
 2.19533  48.8986  2.19533  48.8986    10       414       8
 2.22523  48.9144  2.22523  48.9144    10       484      17
 2.22071  48.9137  2.22071  48.9137    10       408      28
 2.24135  48.907   2.24135  48.907     10       656      15
 2.2494   48.9084  2.2494   48.9084    10       575      16
 2.24118  48.915   2.24118  48.915     10       296      18
 2.25594  48.9166  2.25594  48.9166    10       152      40
 2.24155  48.9216  2.24155  48.9216    10       498      14
 2.24029  48.9238  2.24029  48.9238    10       388      13
 2.27161  48.9306  2.27161  48.9306    10       372      28
 2.26149  48.9256  2.26149  48.9256    10       510       9
 2.27776  48.9221  2.27776  48.9221    10       190      29
 2.26922  48.9158  2.26922  48.9158    10       418      26
 2.2645   48.9154  2.2645   48.9154    10       120      26
 2.28032  48.9284  2.28032  48.9284    10       471      17
 2.26074  48.9395  2.26074  48.9395    10       54       31
 2.29685  48.935   2.29685  48.935     10       71       36
 2.29792  48.9349  2.29792  48.9349    10       74       30
 2.27916   48.94   2.27916   48.94     10       243      11
 2.29885  48.9204  2.29885  48.9204    10       207      12
 2.32048  48.9244  2.32048  48.9244    10       351      23
 2.31446  48.9306  2.31446  48.9306    10       454      15
 2.30624  48.9436  2.30624  48.9436    10       178      14
 2.33107  48.9372  2.33107  48.9372    10       242      18
 2.33284  48.9336  2.33284  48.9336    10       511      17
 2.27787  48.957   2.27787  48.957     10       294      40
 2.28098  48.9578  2.28098  48.9578    10       138      11
 2.2613   48.9489  2.2613   48.9489    10       241      59
 2.25727  48.9484  2.25727  48.9484    10       331      60
 2.24504  48.9448  2.24504  48.9448    10       237      21
 2.24696  48.947   2.24696  48.947     10       547      19
 2.23264  48.952   2.23264  48.952     10       342      27
 2.23528  48.9528  2.23528  48.9528    10       454      27
 2.26206  48.959   2.26206  48.959     10       458      44
 2.26536  48.9545  2.26536  48.9545    10       275      40
 2.22959  48.9382  2.22959  48.9382    10       471      48
 2.23187  48.9349  2.23187  48.9349    10      1017      29
 2.22265  48.9583  2.22265  48.9583    10       521      68
 2.23231  48.9628  2.23231  48.9628    10       734      55
 2.21718  48.9306  2.21718  48.9306    10      1173      42
 2.21266  48.9251  2.21266  48.9251    10       875      29
 2.21631  48.9269  2.21631  48.9269    10      1250      19
 2.19839  48.9267  2.19839  48.9267    10      1085      19
