Num	xa	ya	xb	yb
1	2.11491	48.9164	2.10692	48.913
2	2.53682	49.0261	2.53551	49.0233
3	2.53314	49.0195	2.53551	49.0233
4	2.16206	48.7995	2.14895	48.8299
5	2.16206	48.7995	2.15645	48.7836
6	2.27234	48.8406	2.27525	48.8441
7	2.29139	48.8878	2.28831	48.8859
8	2.29891	48.8906	2.29331	48.8886
9	2.27633	48.8727	2.27488	48.8707
10	2.26146	48.8584	2.26078	48.8579
11	2.25213	48.8513	2.254	48.8541
12	2.25551	48.855	2.26078	48.8579
13	2.25498	48.8455	2.25474	48.8447
14	2.24363	48.8483	2.23258	48.8483
15	2.25452	48.8436	2.25406	48.8416
16	2.34306	48.8589	2.34399	48.8598
17	2.15766	48.8739	2.15683	48.8719
18	2.16174	48.8767	2.16526	48.886
19	2.06192	48.9059	2.0609	48.9058
20	2.06192	48.9059	2.06523	48.9069
21	2.0609	48.9058	2.06022	48.9057
22	2.05951	48.9058	2.05898	48.9058
23	2.05951	48.9058	2.06022	48.9057
24	2.05898	48.9058	2.05631	48.9061
25	2.25698	48.8859	2.26051	48.8848
26	2.23336	48.8934	2.22653	48.8955
27	2.30212	48.9337	2.30217	48.9304
28	2.20765	48.9005	2.21334	48.8992
29	2.19172	48.8946	2.19531	48.8961
30	2.19531	48.8961	2.19857	48.8987
31	2.18739	48.893	2.18504	48.8923
32	2.22653	48.8955	2.21986	48.8977
33	2.15773	48.8704	2.15961	48.8689
34	2.15961	48.8689	2.14886	48.831
35	2.06523	48.9069	2.07602	48.9094
36	2.0791	48.9097	2.10692	48.913
37	2.30009	48.762	2.30774	48.7635
38	2.31812	48.7609	2.32058	48.7601
39	2.32398	48.759	2.32997	48.757
40	2.3539	48.813	2.35257	48.8123
41	2.35139	48.8116	2.35045	48.811
42	2.35045	48.811	2.34977	48.8103
43	2.34906	48.8096	2.34533	48.8058
44	2.34533	48.8058	2.34455	48.8048
45	2.34371	48.8028	2.3435	48.8018
46	2.39606	48.7721	2.38798	48.7709
47	2.38209	48.7702	2.37944	48.7692
48	2.37846	48.7676	2.37888	48.7664
49	2.37888	48.7664	2.38326	48.7598
50	2.50446	48.8281	2.50482	48.8279
51	2.50622	48.8276	2.51676	48.8265
52	2.50256	48.8285	2.49988	48.8291
53	2.43487	48.9134	2.44193	48.911
54	2.43487	48.9134	2.43102	48.9153
55	2.43102	48.9153	2.42966	48.9169
56	2.44193	48.911	2.45494	48.9073
57	2.42861	48.9197	2.42797	48.9206
58	2.42797	48.9206	2.42727	48.9231
59	2.42411	48.9256	2.42146	48.9265
60	2.35751	48.9183	2.35779	48.9153
61	2.35846	48.9062	2.35785	48.9137
62	2.3805	48.9227	2.38707	48.9241
63	2.35779	48.9153	2.35781	48.9148
64	2.35785	48.9137	2.35784	48.9142
65	2.35781	48.9148	2.35784	48.9142
66	2.04954	48.8041	2.05199	48.8068
67	1.91382	48.7983	1.91076	48.7974
68	1.91076	48.7974	1.90819	48.7968
69	2.37077	48.7198	2.3706	48.7235
70	2.37012	48.725	2.36807	48.7297
71	2.21334	48.8992	2.21986	48.8977
72	2.24908	48.8882	2.25106	48.8876
73	2.33884	48.817	2.33733	48.817
74	2.33733	48.817	2.33658	48.8156
75	2.33447	48.8172	2.33574	48.8166
76	2.33574	48.8166	2.33663	48.8162
77	2.29945	48.8259	2.30464	48.8247
78	2.28407	48.8832	2.28618	48.8846
79	2.28612	48.8846	2.28404	48.8833
80	2.2729	48.8709	2.27453	48.8727
81	2.25398	48.8414	2.25374	48.8404
82	2.25398	48.8414	2.25419	48.8404
83	2.25406	48.8414	2.25406	48.8416
84	2.27432	48.8728	2.2727	48.871
85	2.26682	48.8645	2.26451	48.8623
86	2.26472	48.8623	2.26708	48.8644
87	2.25332	48.8482	2.25445	48.8469
88	2.25155	48.8482	2.25445	48.8469
